Price,Bedroom,Bathroom,Floors,Area,Road_Width,Amenities_Count,Property_Age,City_Bhaktapur,City_Chitwan,City_Dharan,City_Jhapa,City_Kathmandu,City_Lalitpur,City_Nawalparasi,City_Pokhara,Road_Type_Gravelled,Road_Type_Paved,Road_Type_Soil Stabilized,Neighborhood_encoded
29000000.0,3,3,2.0,4.5,20.0,17,12,1,0,0,0,0,0,0,0,0,1,0,0.0013542271232346683
31000000.0,3,4,3.0,3.0,19.68504,4,64,0,0,0,0,1,0,0,0,0,1,0,0.0013542271232346683
42500000.0,0,0,3.0,5.3125,29.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.000967305088024763
37500000.0,5,5,3.0,5.0,0.0,10,8,0,0,0,0,1,0,0,0,0,0,1,0.16927839040433354
105000000.0,4,3,3.0,64.0,20.0,12,8,0,0,0,0,1,0,0,0,0,0,1,0.16927839040433354
80000000.0,4,5,3.0,9.9375,13.0,15,6,0,0,0,0,1,0,0,0,1,0,0,0.14103308183401045
25000000.0,3,4,2.0,4.5,13.0,7,6,0,0,0,0,0,1,0,0,1,0,0,0.0001934610176049526
32500000.0,4,4,2.0,7.0,20.0,13,65,1,0,0,0,0,0,0,0,0,1,0,0.0021280711936544788
21000000.0,5,3,3.0,5.0,12.0,7,6,0,0,0,0,1,0,0,0,0,1,0,0.002901915264074289
120000000.0,0,0,3.0,31.0,20.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.0007738440704198104
7700000.0,4,2,2.0,6.0,16.0,6,65,0,1,0,0,0,0,0,0,1,0,0,0.0001934610176049526
20000000.0,7,3,2.5,4.3125,10.0,12,15,0,0,0,0,1,0,0,0,1,0,0,0.0007738440704198104
19000000.0,7,4,3.5,3.0,20.0,11,6,1,0,0,0,0,0,0,0,1,0,0,0.0005803830528148578
33500000.0,0,4,3.0,4.0,18.0,19,8,0,0,0,0,1,0,0,0,0,1,0,0.16927839040433354
37000000.0,0,0,3.0,5.125,13.0,0,8,0,0,0,0,1,0,0,0,0,1,0,0.0005803830528148578
36000000.0,0,0,3.0,7.5,20.0,0,8,0,0,0,0,1,0,0,0,0,0,1,0.0025149932288643837
40000000.0,8,4,3.0,5.0,12.0,12,14,0,0,0,0,1,0,0,0,0,1,0,0.1456761462565293
12500000.0,2,1,1.0,3.0,20.0,8,6,0,0,0,0,0,1,0,0,1,0,0,0.014509576320371444
19500000.0,5,3,2.5,3.25,20.0,12,6,0,0,0,0,0,1,0,0,1,0,0,0.014509576320371444
