City,Price,Bedroom,Bathroom,Floors,Area,Road_Width,Road_Type,Neighborhood,Amenities_Count,Property_Age
Kathmandu,15500000,5,2,3,3.625,13,Soil Stabilized,goldhunga,1,8
Kathmandu,57500000,0,0,3,6.25,12,Paved,maharajgunj,0,8
Kathmandu,90000000,5,5,3,10,20,Soil Stabilized,baluwatar,7,8
Kathmandu,17000000,4,3,2.5,4,10,Paved,kalanki,11,6
Lalitpur,12500000,2,1,1.5,3.25,13,Gravelled,imadol,6,6
Bhaktapur,2100000,0,0,3,5,20,Gravelled,sirutar,2,8
Kathmandu,45000000,4,4,3,11,22,Soil Stabilized,budhanilkantha,13,8
Lalitpur,12500000,2,1,1.5,3,13,Gravelled,tikathali,3,6
Lalitpur,19000000,4,3,2.5,3.5,13,Gravelled,imadol,9,6
Kathmandu,32000000,0,0,3,10,20,Soil Stabilized,pasikot,0,8
Kathmandu,15500000,2,1,1.5,4,20,Gravelled,planning,0,6
Kathmandu,3000000,0,0,3,12,16,Paved,budhanilkantha,0,8
Kathmandu,2350000,0,0,3,5,13,Paved,thankot,0,8
Kathmandu,4100000,0,0,3,4,13,Soil Stabilized,golfutar,0,8
Kathmandu,200000,0,0,3,10,20,Soil Stabilized,ring road,0,8
Kathmandu,3500000,0,0,3,6.1,12,Paved,gaurighat,0,8
Kathmandu,30000,2,1,3,4,11,Soil Stabilized,budhanilkantha,0,8
Kathmandu,1500000,0,0,3,7,58,Paved,jhor,0,8
Kathmandu,1100000,0,0,3,4,10,Soil Stabilized,kavresthali,0,8
Kathmandu,8500000,0,0,3,5.5,13,Soil Stabilized,chabahil,0,8
Kathmandu,2850000,0,0,3,4,10,Soil Stabilized,kavresthali,0,8
Kathmandu,1450000,0,0,3,5,20,Soil Stabilized,dharmasthali,0,8
Kathmandu,3500000,0,0,3,10,30,Paved,budhanilkantha,0,8
Kathmandu,1000000,0,0,3,3,26,Soil Stabilized,dillibazar,1,8
Kathmandu,4200000,0,0,3,8,15,Soil Stabilized,golfutar,0,8
Kathmandu,20000,2,1,3,5.5,18,Soil Stabilized,milantol,4,8
Bhaktapur,2100000,0,0,3,6,0,Soil Stabilized,bhaktapur,0,8
Kathmandu,32000,2,2,5,2.92184076,10,Soil Stabilized,near bhat bhateni,0,8
Lalitpur,3500000,0,0,3,4.5,22.96588,Gravelled,imadol,0,8
Kathmandu,75000,7,7,3,9,13,Paved,hattigauda,1,12
Kathmandu,30000,1,1,3,10,0,Soil Stabilized,lazimpat,4,8
Kathmandu,2450000,0,0,3,5,16,Soil Stabilized,kathmandu,0,8
Kathmandu,2500000,0,0,3,9,15,Paved,hattigauda,0,8
Lalitpur,35000,0,0,5,9,72,Paved,mahalaxmi nagarpalika,10,69
Kathmandu,5700000,0,0,3,4,15,Paved,ranibari,0,8
Kathmandu,3000000,0,0,3,5,13,Soil Stabilized,golfutar,0,8
Kathmandu,60000,0,2,4.5,2.483564646,65.6168,Paved,link road,3,6
Kathmandu,5500000,0,0,3,12,0,Soil Stabilized,lazimpat,0,8
Kathmandu,7000000,0,0,3,7,29.52756,Paved,anamnagar,0,8
Lalitpur,25000,2,2,3,3.170197224,13,Paved,imadol,10,6
Bhaktapur,550000,0,0,3,10.75,10,Gravelled,chitapol,0,8
Lalitpur,115000,0,0,3,4.090577064,0,Soil Stabilized,sanepa,0,8
Lalitpur,35000000,0,0,3,4.090577064,20,Soil Stabilized,sanepa,0,8
Kathmandu,3000000,0,0,3,5,0,Soil Stabilized,bhangal,0,8
Kathmandu,23000000,3,3,3,4.625273923,20,Soil Stabilized,panipokhari,14,8
Kathmandu,80000,3,2,4,4.42366691,0,Paved,tokha,17,8
Lalitpur,35000,2,2,3,6,10,Soil Stabilized,jhamsikhel,5,8
Kathmandu,290000,0,1,1,2.629656684,12,Paved,height,5,8
Kathmandu,150000,3,4,3,5,0,Soil Stabilized,basbari,9,8
Kathmandu,11000000,0,0,3,9.75,32,Soil Stabilized,sano gaucharan,0,8
Kathmandu,11000000,0,0,3,10,40,Soil Stabilized,naya bazar,0,8
Chitwan,20000,0,0,3,12,19.68504,Paved,bharatpur,0,8
Lalitpur,3500000,0,0,3,4,19.68504,Soil Stabilized,hattiban,0,8
Lalitpur,16500000,3,2,5,3.506208912,40,Paved,bhaisepati,14,24
Lalitpur,60000,4,3,3,4,0,Soil Stabilized,hattiban,5,8
Bhaktapur,70000,4,3,3,4,0,Soil Stabilized,sallaghari,6,8
Lalitpur,120000,5,4,3,10,0,Soil Stabilized,kumaripati,0,8
Kathmandu,2400000,0,0,3,4,16,Paved,nasal chowk,0,8
Bhaktapur,2200000,0,0,3,5,13,Soil Stabilized,bhaktapur,0,8
Lalitpur,3000000,0,0,3,7.75,13,Paved,imadol,4,8
Kathmandu,70000,0,0,4,6,25,Paved,dhapasi,8,6
Kathmandu,7000000,0,0,3,2.5,26,Soil Stabilized,naya bazar,0,8
Kathmandu,2500000,0,0,3,11.5,14,Soil Stabilized,ramkot,0,8
Kathmandu,6000000,0,0,3,8,32,Soil Stabilized,swayambhu,0,8
Kathmandu,24500000,0,3,2,3,16,Gravelled,samakhusi,18,8
Kathmandu,2500000,0,0,3,11.5,14,Soil Stabilized,nagarjun,0,8
Kathmandu,17000000,5,3,3,3,14,Soil Stabilized,manamaiju,9,8
Pokhara,15000,2,1,3,8.5,13,Paved,sunaulo marg,1,8
Kathmandu,2850000,0,0,3,5.25,12,Soil Stabilized,raniban,0,8
Kathmandu,15000000,0,0,3,13.625,20,Paved,hattisar,0,8
Kathmandu,40000,4,3,3,4.38276114,22,Gravelled,sitapaila,8,62
Kathmandu,200000,6,4,3,10,0,Soil Stabilized,basbari,0,8
Kathmandu,1150000,0,0,3,7.25,11,Gravelled,swayambhu,0,8
Kathmandu,40000,3,2,3,10,0,Soil Stabilized,soltimode,0,8
Kathmandu,4200000,0,0,3,13,36.08924,Paved,sitapaila,0,8
Lalitpur,3500000,0,0,3,4.38276114,0,Soil Stabilized,patan,0,8
Kathmandu,28500000,6,6,3,5.5,20,Soil Stabilized,pasikot,0,8
Lalitpur,21500000,0,0,3,3.5,13,Gravelled,tikathali,1,8
Kathmandu,20000,2,1,3,3.5,0,Soil Stabilized,pragati tol,0,8
Kathmandu,3000000,0,0,3,4,13,Soil Stabilized,kapan,0,8
Lalitpur,12500000,3,1,2,5,16,Paved,godawari,4,8
Kathmandu,32500000,11,0,3,4.5,20,Paved,bafal,0,8
Lalitpur,22000000,5,3,2.5,4,10,Gravelled,panii tyanki,6,6
Kathmandu,17000000,0,2,3,3.1,20,Paved,tarkeshwor,1,65
Bhaktapur,3000000,0,0,3,4.25,13,Paved,sallaghari,2,8
Lalitpur,11000000,2,1,1.5,2.75,13,Gravelled,tikathali,4,6
Lalitpur,900000,0,0,3,5,10,Soil Stabilized,lubhu,0,8
Kathmandu,15000000,0,0,3,8,45,Paved,maitidevi,0,8
Lalitpur,13000000,4,2,1.5,3,13,Gravelled,imadol,4,6
Kathmandu,42500000,28,0,5,5.3125,29,Soil Stabilized,kathmandu,5,8
Kathmandu,1300000,0,0,3,14,20,Paved,gokarneshwor,0,8
Lalitpur,300000,8,5,3,12,0,Soil Stabilized,pulchowk,2,8
Kathmandu,10500000,0,0,3,7.25,0,Soil Stabilized,balkhu,0,8
Kathmandu,50000000,3,3,3,80,20,Paved,hattisar,1,12
Chitwan,10500000,4,2,3,4,13,Paved,bharatpur,3,73
Kathmandu,30000000,6,5,3,5,14,Gravelled,saraswoti 3,6,63
Lalitpur,31500000,4,4,3,4.3,12,Paved,bhaisepati,7,70
Lalitpur,18000000,3,3,3,3.1875,18,Soil Stabilized,harisiddhi,8,8
Kathmandu,57500000,4,5,3,8,20,Paved,budhanilkantha,11,6
Kathmandu,30000000,0,3,3,2,25,Paved,chabahil main road.,13,8
Lalitpur,100000,3,3,3,11,20,Paved,satdobato,9,81
Kathmandu,15500000,0,0,3,4,18,Paved,chabahil,0,8
Kathmandu,7500000,0,0,3,9.5,20,Paved,1 kitta inside from main road.,0,8
Kathmandu,60000000,0,0,2,9.5,15,Paved,chabahil beside raprapa party office.,18,8
Kathmandu,1200000,0,0,3,4.75,20,Paved,matatirtha,0,8
Kathmandu,2700000,0,0,3,5,12,Paved,kadaghari,2,8
Kathmandu,35000000,7,3,2.5,3.625,12,Paved,sankhamul,11,6
Kathmandu,3600000,0,0,3,9,16,Paved,kalanki,5,8
Kathmandu,25000000,6,4,4,2.5,20,Paved,charumati bihar,7,82
Kathmandu,15500000,0,0,2,3.5,13,Paved,gothatar,4,67
Kathmandu,9500000,0,0,3,13,40,Paved,inside ring road track.,0,8
Kathmandu,75000000,0,0,5,9,12,Paved,100 meters from main road,18,8
Kathmandu,3500000,0,0,3,13,25,Paved,dhobikhola corridor,0,8
Kathmandu,75000000,0,0,3,10,16,Gravelled,100 meter from ring road,24,8
